,Feature Importance,Value,Stderror
0,pI,0.165434194,0.002304157
0,% Positive,0.129960436,0.001342745
0,% Negative,0.11908265,0.000361259
0,Protein Weight,0.107201833,0.001086279
0,% Hydrophilic,0.102533042,0.001367386
0,% Aromatic,0.096181239,0.001064851
0,Protein Abundance,0.082337154,0.000953392
0,%Cysteine,0.075267421,0.000504702
0,Solvent NaCl Concentration_0.0,0.021713071,0.00050828
0,Particle Size_10,0.014493028,0.000223029
0,Particle Size_100,0.014470205,9.51E-05
0,Particle Charge_1,0.013734704,0.000245766
0,Particle Charge_0,0.0135681,0.000265747
0,Solvent Mg Concentration_0.0,0.011950097,0.000298948
0,Solvent Mg Concentration_0.1,0.011914795,0.000272632
0,Solvent NaCl Concentration_0.8,0.010365783,0.000392239
0,Solvent NaCl Concentration_3.0,0.009792248,0.000577105
